"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
1010,NA,NA,NA,"",0,0,"TOP_C"
1011,2530,"",85,"",72.5,5,"C14"
1012,4130,"",160,"",132.5,5,"C14"
1013,NA,NA,NA,"",140,0,"BOT_C"
