DEPTH (CM);SAMPLE AGE
0;0
5;180,71
15;542,14
25;903,57
35;1265
50;1807,14
65;2349,29
75;2663,33
85;2930
95;3196,67
100;3330
105;3463,33
115;3730
125;3996,67
140;4396,67
