ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode
3268,NA,NA,NA,,180,NA,TOP_C
3269,20370,,140,,208,4,C14
3270,31750,,550,,543,4,C14
3271,45500,,2700,,893,4,C14
3272,67700,NA,9900,,1273,4,U238
3273,41000,,1400,,1282.5,5,C14
