"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
3637,NA,NA,NA,"",0,0,"TOP_C"
3638,259,"",44,"",43,0,"C14"
3639,1636,"",46,"",67,0,"C14"
3640,NA,NA,NA,"",68,0,"BOT_C"
