"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
3422,0,NA,NA,"",0,0,"TOP_C"
3423,1670,"",35,"",285,0,"C14"
3424,2710,"",55,"",560,0,"C14"
3425,3420,"",50,"",810,0,"C14"
3426,NA,NA,NA,"",830,0,"BOT_U"
