DEPTH (CM);SAMPLE AGE
3;10077,46
5;10463,9
10;11236,78
11;11391,36
15;12009,66
20;12782,54
25;13555,42
37;15410,34
50;17419,83
51;17574,41
52;17728,98
60;18965,59
77;21593,39
80;22057,12
84;22675,42
100;25148,64
108;26385,25
119;28085,59
120;28240,17
136;30636,1
140;31254,41
157;32463,56
160;32582,08
182;33451,19
192;33846,24
200;34142,52
219;34912,87
220;34952,38
240;35742,48
248;36058,52
260;36532,57
