DEPTH (CM);SAMPLE AGE;UPPER DEPTH;LOWER DEPTH
4;;;
11;;;
15;;;
23;;;
55;;;
64;;;
73;;;
82;;;
99;;;
103;;;
109;;;
115;;;
119;;;
124;;;
128;;;
133;;;
137;;;
142;;;
146;;;
150;;;
156;;;
161;;;
165;;;
170;;;
177;;;
182;;;
186;;;
190;;;
194;;;
199;;;
209;;;
217;;;
223;;;
227;;;
231;;;
240;;;
244;;;
249;;;
253;;;
261;;;
274;;;
282;;;
286;;;
290;;;
299;2920;298;-
304;;;
314;;;
323;;;
329;;;
336;;;
342;;;
349;;;
353;;;
358;;;
369;;;
374;;;
378;;;
382;;;
387;;;
392;4700;393;-
397;;;
402;;;
408;;;
418;;;
424;;;
432;;;
438;;;
442;;;
449;;;
457;;;
463;;;
469;;;
474;;;
478;;;
485;;;
490;;;
496;;;
504;;;
511;;;
518;;;
524;;;
528;;;
537;;;
543;;;
549;;;
553;;;
560;;;
566;;;
574;;;
579;;;
584;;;
589;;;
593;;;
599;;;
629;;;
635;;;
639;;;
649;;;
653;;;
657;;;
664;;;
669;;;
674;;;
681;;;
689;;;
694;;;
699;;;
703;;;
710;6290;709;-
717;;;
725;;;
731;;;
738;;;
742;;;
748;;;
752;;;
756;;;
761;;;
766;;;
770;;;
774;;;
778;;;
783;;;
791;;;
799;;;
807;;;
811;;;
816;7290;817;-
820;;;
824;;;
