DEPTH (CM);SAMPLE AGE
0;0
10;411.82
25;1029.55
45;1853.18
50;2059.09
60;2381
75;2729
80;2845
90;3077
105;3425
120;4508
130;5230
145;6313
155;7035
172;7280.73
190;7540.91
205;7757.73
215;8176
225;8868
235;9560
245;10252
255;10944
