"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
5409,NA,NA,NA,"",0,0,"TOP_U"
5410,1340,"",70,"",212,14,"C14"
5411,3390,"",50,"",532,0,"C14"
5412,4720,"",100,"",880,0,"C14"
5413,5910,"",90,"",975,0,"C14"
5414,6040,"",60,"",1080,0,"C14"
5415,NA,NA,NA,"",1090,0,"BOT_C"
