ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode
5409,,0,50,,0,,TOP_C
5410,1340,,70,,212,14,C14
5411,3390,,50,,532,,C14
5412,4720,,100,,880,,C14
5413,5910,,90,,975,,C14
5414,6040,,60,,1080,,C14
