"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
3312,1700,"",29,"",90,1,"C14"
3313,9870,"",80,"",212,1,"C14"
3314,36000,"",700,"",221.5,1,"C14"
3315,19160,"",110,"",311,1,"C14"
3316,19530,"",130,"",344,1,"C14"
3317,40700,"",900,"",432,1,"C14"
3318,27200,"",600,"",499,1,"C14"
