"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
5416,NA,NA,NA,"",50,0,"TOP_C"
5417,1860,"",40,"",60,0,"C14"
5418,8280,"",60,"",330,0,"C14"
5419,8750,"",50,"",345,0,"C14"
5420,11900,"",70,"",418,0,"C14"
5421,9130,"",50,"",582,0,"C14"
5422,12990,"",80,"",628,0,"C14"
5423,8040,"",60,"",1100,0,"C14"
5424,6570,"",60,"",1220,0,"C14"
5425,8710,"",60,"",1240,0,"C14"
5426,7430,"",50,"",1250,0,"C14"
5427,9270,"",60,"",1350,0,"C14"
5428,8160,"",60,"",1510,0,"C14"
5429,10010,"",50,"",1530,0,"C14"
