"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
3019,NA,NA,NA,"",12.5,0,"TOP_U"
3020,12830,"",80,"",372.8,10.5,"C14"
3021,20840,"",140,"",663,22,"C14"
3022,NA,NA,NA,"",1062.5,0,"BOT_U"
