DEPTH (CM);SAMPLE AGE;UPPER DEPTH;LOWER DEPTH
105;;;
110;;;
140;;;
145;;;
150;;;
155;;;
160;;;
165;;;
171;;;
174;;;
180;;;
185;;;
190;;;
200;;;
210;;;
215;;;
220;;;
225;;;
230;;;
235;;;
245;;;
256;;;
266;;;
275;7340;278;285
285;;;
295;;;
306;;;
316;;;
325;;;
335;;;
345;;;
355;;;
366;;;
385;;;
396;;;
405;;;
415;;;
425;;;
435;;;
445;;;
455;;;
465;;;
475;;;
485;;;
496;;;
505;;;
515;14770;520;535
525;;;
535;;;
545;;;
555;;;
570;;;
581;;;
590;;;
595;;;
600;;;
605;;;
610;;;
620;;;
630;;;
641;;;
650;;;
660;;;
670;;;
681;14100;685;685
690;;;
700;;;
710;;;
716;;;
720;;;
725;;;
735;;;
740;;;
746;;;
749;;;
755;;;
760;;;
768;;;
785;;;
