ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode
5677,2910,,40,,50,1,C14
5678,3660,,40,,70,1,C14
5679,3750,,50,,107.5,5,C14
5680,4650,,70,,150,1,C14
