"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
5308,NA,NA,NA,"",0,0,"TOP_C"
5309,1820,"",50,"",63,0,"C14"
5310,5190,"",80,"",95,0,"C14"
