DEPTH (CM);SAMPLE AGE
0;-46
2;732
4;1511
6;2289
8;3067
10;4830
14;5313
18;5795
22;6278
26;6761
30;7243
34;7726
38;8209
42;8508
46;8624
50;8740
54;8856
58;8972
62;9088
66;9204
70;9320
74;9438
78;9555
82;9673
86;9791
90;9908
94;10026
