DEPTH (CM);14C DATE;UPPER DEPTH;LOWER DEPTH
0;;;
10;;;
20;;;
30;;;
40;;;
50;;;
60;;;
70;;;
80;990;80;82
90;;;
100;;;
110;2780;116;120
120;;;
126;;;
133;;;
138;;;
