"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
3668,NA,NA,NA,"",0,0,"TOP_U"
3669,2210,"",80,"",27.5,5,"C14"
3670,2280,"",80,"",62.5,5,"C14"
3671,2290,"",80,"",92.5,5,"C14"
3672,2510,"",100,"",127.5,5,"C14"
3673,3920,"",140,"",157.5,5,"C14"
3674,5870,"",120,"",190,6,"C14"
3675,8420,"",160,"",237.5,5,"C14"
3676,9970,"",155,"",260,20,"C14"
3677,10170,"",140,"",284,24,"C14"
