"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
3392,NA,NA,NA,"",5,NA,"TOP_U"
3393,580,"",60,"",35,10,"C14"
3394,700,"",60,"",64.5,15,"C14"
3395,2050,"",50,"",190,16,"C14"
3396,4700,"",80,"",411,12,"C14"
3397,5020,"",80,"",450,10,"C14"
