DEPTH (CM);SAMPLE AGE;14C DATE;UPPER DEPTH;LOWER DEPTH
5;175;;;
15;390;;;
25;580;580;30;40
35;650;;;
45;700;700;58;72
55;750;;;
65;850;;;
75;950;;;
85;1050;;;
95;1150;;;
105;1250;;;
115;1350;;;
125;1450;;;
135;1550;;;
145;1650;;;
155;1750;;;
165;1850;;;
175;1950;;;
185;2255;2050;183;198
195;2365;;;
205;2475;;;
215;2585;;;
225;2695;;;
235;2805;;;
245;2915;;;
255;3025;;;
265;3135;;;
275;3245;;;
285;3355;;;
295;3465;;;
305;3575;;;
315;3685;;;
325;3795;;;
335;3905;;;
345;4015;;;
355;4125;;;
365;4235;;;
375;4345;;;
385;4455;;;
395;4565;;;
405;4675;4700;405;417
415;4785;;;
425;4895;;;
435;4800;;;
445;4900;;;
455;5000;5020;444;455
