"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
5400,NA,NA,NA,"",0,0,"TOP_C"
5401,340,"",110,"",80.5,23,"C14"
5402,2620,"",90,"",279,12,"C14"
5403,NA,NA,NA,"",310,0,"BOT_C"
