DEPTH (CM);SAMPLE AGE;UPPER DEPTH;LOWER DEPTH
5;;;
15;;;
25;;;
35;;;
45;;;
55;;;
65;;;
75;;;
85;;;
95;;;
105;;;
115;;;
125;;;
135;;;
145;;;
155;;;
165;;;
175;;;
185;;;
195;;;
205;;;
215;;;
225;;;
235;;;
245;;;
255;;;
265;9830;270;300
275;;;
285;;;
295;;;
305;;;
315;;;
325;;;
335;;;
345;;;
355;;;
365;12770;370;390
375;;;
385;;;
389;;;
392;;;
395;;;
400;;;
405;;;
410;;;
415;;;
