"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
2892,NA,NA,NA,"",280,0,"TOP_C"
2893,6040,"",90,"",350,0,"C14"
2894,7070,"",50,"",404,0,"C14"
2895,7780,"",60,"",449,0,"C14"
2896,7850,"",50,"",468,0,"C14"
2897,7890,"",60,"",482,0,"C14"
2898,7970,"",600,"",492,0,"C14"
2899,8680,"",60,"",505,0,"C14"
2900,13110,"",120,"",522,0,"C14"
2901,14200,"",120,"",544,0,"C14"
2902,17990,"",60,"",652,0,"C14"
2903,19670,"",240,"",700,0,"C14"
2904,30200,"",900,"",900,0,"C14"
2905,38400,"",3000,"",1050,0,"C14"
2906,NA,NA,NA,"",1165,0,"BOT_U"
