DEPTH (CM);SAMPLE AGE
0;83
2;648.33
4;1213.67
6;1779
8;2344.33
10;2909.67
12;3475
14;3889.33
16;4303.67
18;4718
20;5132.33
22;5546.67
24;5961
26;6248.9
28;6536.8
30;6824.7
32;7112.6
34;7400.5
36;7688.4
38;7976.3
40;8264.2
42;8552.1
44;8840
46;8939.17
48;9038.33
50;9137.5
52;9236.67
54;9335.83
56;9435
58;9534.17
60;9633.33
62;9732.5
64;9831.67
66;9930.83
68;10030
70;10100
72;10170
74;10240
76;10310
78;10380
80;10578.33
82;10776.67
84;10975
86;11173.33
88;11371.67
90;11570
