"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
3223,NA,NA,NA,"",0,0,"TOP_U"
3224,990,"",200,"",81,2,"C14"
3225,2780,"",160,"",122.5,5,"C14"
3226,NA,NA,NA,"",138,0,"BOT_U"
