DEPTH (CM);SAMPLE AGE
37;0
55;103
85;274
105;388
123;490
135;559
155;673
165;730
175;787
185;844
195;901
205;958
220;1043
236;1155
265;1419
280;1555
320;1919
345;2147
372;2393
385;2511
400;2648
515;3695
540;3922
570;4195
595;4423
630;4741
660;5015
690;5288
720;5561
750;6144
810;7722
840;8511
860;9037
880;9563
890;9826
910;10353
920;10616
