DEPTH (CM);SAMPLE AGE
0;0
5;139
10;278
25;696
40;1114
45;1253
50;1392
65;1810
75;2122
85;2468
95;2814
105;3159
130;4023
150;4715
155;4817
160;4920
170;5126
180;5331
190;5537
200;5743
210;5948
220;6154
235;6443
245;6610
255;6778
270;7029
280;7196
285;7280
290;7420
295;7560
305;7840
310;7980
325;8400
340;8820
360;9380
375;9800
380;9940
385;10080
395;10360
408;10724
415;10920
