DEPTH (CM);14C DATE;UPPER DEPTH;LOWER DEPTH
2;;;
5;;;
7;;;
9;;;
12;;;
15;;;
17;;;
19;;;
22;;;
25;;;
27;;;
29;;;
32;;;
35;;;
37;;;
39;;;
42;;;
45;;;
47;;;
49;;;
52;%98.52%;52;-
55;;;
57;;;
59;;;
62;;;
65;;;
67;;;
69;;;
72;;;
75;;;
77;;;
79;;;
82;;;
85;1965;82;-
87;;;
89;;;
92;;;
95;;;
97;;;
99;;;
102;;;
105;;;
107;;;
109;;;
112;;;
122;5210;122;-
125;;;
128;;;
133;;;
138;;;
143;;;
148;;;
153;;;
158;;;
163;8320;163;174
168;;;
173;;;
178;;;
183;;;
188;;;
193;;;
198;;;
203;;;
208;;;
213;12450;213;224
218;;;
223;;;
228;;;
233;;;
238;;;
243;;;
