DEPTH (CM);SAMPLE AGE
5;51
15;154
25;256
35;358
45;461
55;563
65;812
75;1400
85;1989
95;2578
105;3167
115;3756
125;4279
135;4738
145;5197
155;5655
165;6114
175;6573
185;7031
190;7261
200;7719
