"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
5664,NA,NA,NA,"",0,0,"TOP_C"
5665,0,"",NA,"",23,2,"C14"
5666,175,"",30,"",51,2,"C14"
5667,270,"",40,"",81,2,"C14"
5668,327.5,"430",20,"",112.5,5,"TEF"
5669,530,"",30,"",115,2,"C14"
5670,793,"675",24,"",144,8,"TEF"
5671,1005,"",30,"",161,2,"C14"
5672,1098,"975",15,"",179.5,3,"TEF"
5673,1540,"",35,"",255,2,"C14"
