"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
2877,NA,NA,NA,"",280,NA,"TOP_C"
2878,6040,"",90,"",349.5,1,"C14"
2879,7070,"",50,"",403.5,1,"C14"
2880,7780,"",60,"",448.5,1,"C14"
2881,7850,"",50,"",467.5,1,"C14"
2882,7890,"",60,"",481.5,1,"C14"
2883,7970,"",600,"",491.5,1,"C14"
2884,8680,"",60,"",504.5,1,"C14"
2885,13110,"",120,"",521.5,1,"C14"
2886,14200,"",120,"",543.5,1,"C14"
2887,17990,"",60,"",651.5,1,"C14"
2888,19670,"",240,"",699.5,1,"C14"
2889,30200,"",900,"",899,2,"C14"
2890,38400,"",3000,"",1049,2,"C14"
2891,NA,NA,NA,"",1760,NA,"BOT_C"
