"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
5091,2235,"",380,"",7.8,2.5,"C14"
5092,4745,"",275,"",73.5,5,"C14"
5093,6075,"",290,"",126.5,5,"C14"
5094,8300,"",255,"",191,12,"C14"
