"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
3323,NA,NA,NA,"",0,0,"TOP_C"
3324,1320,"",50,"",280,2,"C14"
3325,3950,"",40,"",585,2,"C14"
3326,NA,NA,NA,"",600,0,"BOT_C"
