"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
2794,NA,NA,NA,"",0,0,"TOP_U"
2795,2040,"",80,"",292.5,10,"C14"
2796,4790,"",70,"",892.5,10,"C14"
2797,NA,NA,NA,"",900,0,"BOT_U"
