ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode
988,350,,50,,20,,TOP_C
989,2510,,20,,91,,C14
990,4370,,25,,148,,C14
991,7940,,65,,217,,C14
992,8700,,25,,267.5,,C14
993,9820,,30,,272,,C14
994,13500,,40,,355,,C14
