"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
5074,NA,NA,NA,"",10,0,"TOP_U"
5075,655,"",35,"",57.5,5,"C14"
5076,1235,"",20,"",117.5,5,"C14"
5077,790,"",20,"",177.5,5,"C14"
5078,2090,"",40,"",182.5,5,"C14"
5079,3140,"",40,"",237.5,5,"C14"
5080,1930,"",20,"",242.5,5,"C14"
5081,445,"",20,"",301.5,3,"C14"
5082,6170,"",40,"",304.5,3,"C14"
5083,6530,"",40,"",364.5,5,"C14"
5084,6530,"",20,"",390,4,"C14"
5085,NA,NA,NA,"",392,0,"BOT_C"
