"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
3632,NA,NA,NA,"",0,0,"TOP_C"
3633,1208,"",48,"",23,0,"C14"
3634,7413,"",52,"",55,0,"C14"
3635,10636,"",38,"",61,0,"C14"
3636,NA,NA,NA,"",64,0,"BOT_C"
