"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
3786,NA,NA,NA,"",0,0,"TOP_C"
3787,7850,"",90,"",767.5,15,"C14"
3788,9620,"",90,"",817.5,25,"C14"
3789,NA,NA,NA,"",950,0,"BOT_C"
