ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode
3081,854,,36,,16,1,C14
3082,1843,,34,,51,1,C14
3083,1902,,39,,81,1,C14
3084,3127,,36,,100,1,C14
3085,3043,,36,,204,1,C14
3086,3789,,36,,300,1,C14
3087,3987,,37,,335,1,C14
3088,3988,,38,,362,1,C14
3089,4030,,70,,365,1,C14
3090,3920,,60,,366,1,C14
3091,4080,,150,,369,1,C14
3092,4050,,50,,371,1,C14
3093,4390,,42,,396,1,C14
3094,4530,,70,,402,1,C14
3095,4609,,46,,405,1,C14
3096,4602,,44,,407,1,C14
3097,4479,,41,,407,1,C14
3098,4460,,60,,410,1,C14
3099,4525,,41,,413,1,C14
3100,4628,,39,,413,1,C14
3101,4628,,40,,417,1,C14
3102,4550,,70,,420,1,C14
3103,4550,,50,,423,1,C14
3104,4510,,60,,427,1,C14
3105,4520,,240,,431,1,C14
3106,4310,,170,,441,1,C14
3107,4840,,60,,443,1,C14
3108,4475,,39,,444,1,C14
3109,4730,,130,,445,1,C14
3110,5020,,60,,457,1,C14
3111,4890,,90,,460,1,C14
3112,4730,,110,,463,1,C14
3113,5180,,60,,469,1,C14
3114,5140,,50,,470,1,C14
3115,5040,,60,,473,1,C14
3116,5070,,60,,476,1,C14
3117,5204,,45,,482,1,C14
3118,5103,,40,,485,1,C14
3119,5396,,49,,500,1,C14
3120,5998,,41,,592,1,C14
3121,8760,,60,,800,1,C14
3122,9760,,60,,1000,1,C14
