DEPTH (CM);14C DATE;UPPER DEPTH;LOWER DEPTH
3;;;
7;;;
11;;;
15;;;
19;;;
23;;;
27;;;
56;;;
60;;;
65;;;
70;;;
75;;;
80;;;
84;;;
89;;;
94;;;
99;1870;104;109
104;;;
109;;;
115;;;
119;;;
125;;;
130;;;
136;;;
141;;;
146;2270;145;148
152;;;
157;;;
162;;;
167;;;
172;;;
177;;;
182;;;
187;;;
192;;;
197;3780;195;198
203;;;
208;;;
214;;;
219;;;
225;;;
231;;;
236;;;
242;;;
247;5040;246;249
;;;
;5220;288;296
