DEPTH (CM);SAMPLE AGE
10;360
17;612
31;1116
55;1980
100;2233
115;2261
135;2319
155;2464
165;2536
185;2888
205;3292
215;3494
225;3695
245;4099
265;4476
280;4752
295;5028
310;5304
325;5580
345;5948
355;6132
360;6224
