DEPTH (CM);SAMPLE AGE
0;1047.18
2;1065
4;1082.82
6;1100.64
8;1118.45
10;1136.27
12;1154.09
14;1171.91
16;1189.73
18;1207.55
20;1225.36
22;1243.18
24;1261
26;1907.58
28;2554.17
30;3200.75
32;3847.33
34;4493.92
36;5140.5
38;5787.08
40;6433.67
42;7080.25
44;7726.83
46;8373.42
48;9020
50;9650
52;10280
54;10382
56;10484
58;10586
62;10790
64;12290
66;13790
68;15290
70;16790
72;18290
