ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode
3289,NA,NA,NA,,0,0,TOP_C
3290,-35.26,,-1.7,,3,0,C14
3291,77,,41,,21,0,C14
3292,NA,NA,NA,,25,0,BOT_U
