"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
5157,NA,NA,NA,"",0,NA,"TOP_C"
5158,260,"",70,"",25,50,"C14"
5159,1220,"",80,"",260,40,"C14"
5160,NA,NA,NA,"",290,NA,"BOT_C"
