DEPTH (CM);SAMPLE AGE
5;33,33
10;66,67
15;100
20;133,33
25;166,67
30;200
35;233,33
40;266,67
45;300
50;428,75
55;557,5
60;686,25
65;815
70;943,75
75;1072,5
80;1201,25
85;1330
90;1490
95;1650
100;1810
105;1970
115;2290
125;2950,38
140;3940,94
145;4271,13
155;4931,51
160;5261,7
170;5942,98
180;6707,87
190;7472,77
200;8237,66
210;9002,55
220;9767,45
230;10532,34
240;11297,23
250;12062,13
261;12903,51
270;13591,92
