ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode
924,,-20,10,,5,1,TOP_C
925,635,,85,,64.5,5,C14
926,4050,,60,,122.5,5,C14
927,7490,,80,,197.5,5,C14
