ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode
4857,,0,50,,0,,TOP_C
4858,160,,35,,132,,C14
4859,1295,,40,,287,,C14
4860,1685,,45,,487,,C14
4861,1935,,40,,683,,C14
4862,1580,,40,,826,,C14
4863,1750,,40,,843,,C14
4857,2040,,35,,1090,,C14
4864,2515,,35,,1251,,C14
4865,3225,,50,,1436,,C14
4866,4435,,45,,1637,,C14
4867,5665,,40,,1782,,C14
