DEPTH (CM);SAMPLE AGE
1;94
6;562
11;1030
16;1498
21;1967
26;2435
31;2903
36;3371
41;3840
46;4308
51;4776
56;5244
61;5713
66;6181
71;6649
76;
81;
86;
91;
96;
