DEPTH (CM);14C DATE;UPPER DEPTH;LOWER DEPTH
0;;;
10;;;
20;;;
30;;;
40;;;
50;;;
60;740;60;62
70;;;
80;;;
90;;;
100;;;
110;;;
120;;;
125;5250;123;127
