DEPTH (CM);14C DATE;UPPER DEPTH;LOWER DEPTH
84;;;
110;6510;112;125
125;;;
140;;;
155;9830;150;155
165;;;
175;;;
185;;;
195;;;
205;;;
215;;;
230;;;
245;;;
265;;;
285;;;
295;;;
315;;;
322;;;
