"ID","C14_age","cal_BP","error","reservoir","depth","thickness","Rcode"
5027,NA,NA,NA,"",0,0,"TOP_C"
5028,850,"",40,"",46,0,"C14"
5029,2080,"",25,"",120,0,"C14"
5030,1705,"",30,"",194,0,"C14"
5031,NA,NA,NA,"",195,0,"BOT_C"
