ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode
5100,820,,40,,33,,C14
5101,1780,,40,,46,,C14
5102,4170,,110,,110,,C14
5103,9720,,180,,256,,C14
5104,12270,,150,,316,,C14
