"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
2766,NA,NA,NA,"",0,NA,"TOP_C"
2767,840,"",60,"",46.5,1,"C14"
2768,985,"",30,"",63,2,"C14"
2769,1275,"",50,"",75,2,"C14"
2770,1930,"",60,"",104.5,3,"C14"
2771,2610,"",60,"",115,2,"C14"
2772,2750,"",30,"",136,2,"C14"
2773,2600,"",50,"",143,2,"C14"
2774,5550,"",50,"",167.5,1,"C14"
2775,5130,"",50,"",203,2,"C14"
2776,3285,"",50,"",203,2,"C14"
2777,4470,"",370,"",269,2,"C14"
2778,4750,"",110,"",289,20,"C14"
2779,5280,"",150,"",403.5,13,"C14"
2780,6230,"",100,"",551.5,13,"C14"
2781,NA,NA,NA,"",558,NA,"BOT_C"
