ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode
5687,-55,,50,,5,,TOP_C
5688,1240,,60,,20,1,C14
5689,7170,,40,,50,1,C14
5690,7230,,40,,60,1,C14
