"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
4790,NA,NA,NA,"",608,0,"TOP_C"
4791,4095,"",60,"",712.5,5,"C14"
4792,9820,"",130,"",796.5,5,"C14"
4793,NA,NA,NA,"",812,0,"BOT_C"
