DEPTH (CM);SAMPLE AGE
608;0
628;656
648;1311
654;1508
660;1705
678;2429
706;3762
726;4783
746;5841
752;6239
762;7035
766;7353
772;7830
782;8626
792;9422
802;10218
812;11014
