"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
4806,NA,NA,NA,"",0,0,"TOP_U"
4807,4670,"",40,"",10,0,"C14"
4808,6520,"",35,"",30,0,"C14"
4809,6980,"",40,"",45,0,"C14"
4810,7230,"",50,"",60,0,"C14"
4811,2390,"",35,"",60,0,"C14"
4812,7150,"",45,"",61.5,0,"C14"
4813,7450,"",55,"",67,0,"C14"
4814,7290,"",55,"",71,0,"C14"
4815,7410,"",50,"",82,0,"C14"
4816,8240,"",45,"",112,0,"C14"
4817,9030,"",50,"",141,0,"C14"
4818,11900,"",55,"",246,0,"C14"
4819,14000,"",55,"",322,0,"C14"
4820,16950,"",70,"",418,0,"C14"
4821,18950,"",85,"",465,0,"C14"
4822,26000,"",130,"",490,0,"C14"
4823,22100,"",120,"",550,0,"C14"
4824,27400,"",130,"",625,0,"C14"
4825,31600,"",250,"",687.5,0,"C14"
4826,31600,"",250,"",694.5,0,"C14"
4827,35100,"",280,"",760,0,"C14"
4828,41800,"",570,"",875,0,"C14"
4829,NA,NA,NA,"",880,0,"BOT_C"
