ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode
2803,-1621,,28,,11,,C14
2804,522,,30,,151,,C14
2805,879,,31,,266,,C14
2806,1516,,31,,398,,C14
2807,2040,,60,,498,,C14
2808,3003,,34,,546,,C14
2809,3492,,35,,598,,C14
