ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode
4836,,0,50,,0,,TOP_C
4837,875,,25,,43,,C14
4838,635,,25,,129,,C14
4839,1110,,40,,187,,C14
4840,1800,,40,,242,,C14
4841,2875,,40,,414,,C14
4842,5190,,45,,630,,C14
4843,4265,,35,,743,,C14
4844,4480,,40,,775,,C14
4845,11050,,45,,797,,C14
4846,6025,,40,,826,,C14
4847,7160,,35,,853,,C14
4848,9430,,40,,914,,C14
4849,13195,,50,,1036,,C14
4850,18670,,70,,1124,,C14
4851,19650,,110,,1182,,C14
4852,14275,,45,,1232,,C14
4853,16700,,50,,1309,,C14
4854,20660,,90,,1427,,C14
