DEPTH (CM)
73
74
76
77
78
79
83
87
94
98
103
108
110
113
118
165
170
175
180
185
190
195
199
200
204
213
222
226
229
232
237
241
250
260
263
266
271
275
278
281
284
287
290
295
298
301
304
309
314
318
321
324
327
332
