"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
4893,NA,NA,NA,"",480,0,"TOP_U"
4894,10565,"",95,"",539,28,"C14"
4895,11945,"",150,"",686,8,"C14"
4896,NA,NA,NA,"",720,NA,"BOT_U"
